name,categories,街镇名,lat,lng
龙阳路,混合区,花木街道,31.20498871,121.5532752
张江高科,工作区,张江镇,31.20376384,121.5835457
远东大道,混合区,川沙新镇,31.2014226,121.7510969
虹桥2号航站楼,混合区,新虹街道,31.19514666,121.3218795
龙溪路,混合区,程家桥街道,31.19627535,121.375518
伊犁路,工作区,虹桥街道,31.20059003,121.3994997
宋园路,混合区,虹桥街道,31.19833731,121.4073091
虹桥路,工作区,新华路街道,31.19881804,121.4169647
徐家汇,工作区,徐家汇街道,31.19631689,121.4314079
世博会博物馆,工作区,五里桥街道,31.19960437,121.4782859
华夏东路,居住区,川沙新镇,31.19874054,121.676617
诸光路,居住区,徐泾镇,31.19381987,121.2886863
虹桥火车站,混合区,新虹街道,31.19592667,121.3169781
虹桥1号航站楼,混合区,程家桥街道,31.19317675,121.3426395
上海动物园,混合区,程家桥街道,31.19214625,121.3637052
东安路,混合区,枫林路街道,31.19295579,121.4501429
大木桥路,混合区,斜土路街道,31.19571407,121.4591245
临沂新村,混合区,南码头路街道,31.19510568,121.5126332
芳华路,居住区,花木街道,31.19526434,121.5458414
凌空路,居住区,川沙新镇,31.19485967,121.719752
蟠龙路,混合区,徐泾镇,31.18870979,121.2741201
徐泾东,居住区,徐泾镇,31.19026896,121.2948786
宜山路,工作区,徐家汇街道,31.18817372,121.4225868
上海体育场,混合区,枫林路街道,31.18738964,121.4388087
中华艺术宫,工作区,周家渡街道,31.18730556,121.489257
高科西路,混合区,周家渡街道,31.18779087,121.5055971
杨高南路,居住区,北蔡镇,31.18955179,121.5210424
锦绣路,居住区,北蔡镇,31.18961818,121.5358217
川沙,居住区,川沙新镇,31.18889696,121.6935704
上海体育馆,工作区,徐家汇街道,31.18434143,121.4323905
龙华中路,工作区,斜土路街道,31.18638834,121.4522989
世博大道,工作区,上钢新村街道,31.18480253,121.4797973
云台路,居住区,周家渡街道,31.18417395,121.495955
徐盈路,居住区,徐泾镇,31.1803626,121.2496184
龙柏新村,混合区,虹桥镇,31.17949957,121.3657433
漕溪路,混合区,漕河泾街道,31.17851197,121.4337322
上海游泳馆,混合区,徐家汇街道,31.18113114,121.4369494
耀华路,居住区,周家渡街道,31.18057601,121.4901945
徐泾北城,居住区,徐泾镇,31.17748125,121.2372582
桂林路,工作区,田林街道,31.17675654,121.4138844
龙华,混合区,龙华街道,31.17472366,121.4483183
后滩,混合区,上钢新村街道,31.17456903,121.4696355
长清路,居住区,上钢新村街道,31.17660995,121.4816107
东明路,居住区,周家渡街道,31.17479058,121.5070469
华夏中路,工作区,北蔡镇,31.17733559,121.5781324
紫藤路,混合区,虹桥镇,31.17167437,121.3597915
漕河泾开发区,工作区,漕河泾新兴技术开发区,31.17235442,121.393153
漕宝路,混合区,漕河泾街道,31.17038352,121.4294573
龙漕路,混合区,漕河泾街道,31.17174256,121.4394431
成山路,居住区,周家渡街道,31.17301788,121.4923764
海天三路,混合区,川沙新镇,31.17059417,121.7926301
嘉松中路,居住区,赵巷镇,31.16604477,121.219638
航中路,居住区,七宝镇,31.16735526,121.3503495
合川路,工作区,虹桥镇,31.16837086,121.3800481
虹漕路,工作区,康健新村街道,31.16605674,121.4059073
桂林公园,混合区,康健新村街道,31.1688305,121.4146375
云锦路,工作区,龙华街道,31.16875396,121.4538678
漕盈路,居住区,盈浦街道,31.16232342,121.092094
青浦新城,居住区,夏阳街道,31.16070551,121.120763
汇金路,居住区,赵巷镇,31.16316788,121.1472233
赵巷,居住区,赵巷镇,31.16319364,121.1878338
虹梅路,工作区,古美街道,31.16217024,121.3927459
龙耀路,混合区,龙华街道,31.16173747,121.4551993
杨思,居住区,三林镇,31.16307873,121.4892555
高青路,居住区,三林镇,31.16189687,121.5111619
御桥,居住区,北蔡镇,31.16040216,121.5664858
七宝,混合区,七宝镇,31.15730727,121.3449735
星中路,混合区,七宝镇,31.16006541,121.36439
东兰路,居住区,梅陇镇,31.15760007,121.3873402
上海南站,混合区,漕河泾街道,31.15600332,121.42567
石龙路,混合区,漕河泾街道,31.15981294,121.4385084
中春路,混合区,七宝镇,31.15138797,121.3330714
东方体育中心,工作区,三林镇,31.15549522,121.4760986
华夏西路,混合区,三林镇,31.15191402,121.5103257
浦三路,居住区,三林镇,31.15315409,121.5348084
罗山路,混合区,张江镇,31.15565179,121.5889258
浦东国际机场,混合区,川沙新镇,31.15185086,121.8022916
灵岩南路,居住区,三林镇,31.15076069,121.490784
上南路,居住区,三林镇,31.15121141,121.5019741
三林东,居住区,东明路街道,31.14861281,121.5187943
顾戴路,居住区,古美街道,31.14284065,121.3877341
锦江乐园,居住区,凌云路街道,31.14386056,121.4095213
凌兆新村,居住区,三林镇,31.14328678,121.4851218
三林,居住区,三林镇,31.14512925,121.5072252
迪士尼,混合区,川沙新镇,31.14344085,121.663771
九亭,居住区,九亭镇,31.13922973,121.3150034
虹莘路,居住区,莘庄镇,31.13930836,121.3755441
秀沿路,居住区,康桥镇,31.14035221,121.5943209
淀山湖大道,居住区,盈浦街道,31.13626302,121.0774667
七莘路,混合区,莘庄镇,31.13377025,121.3585299
莲花路,居住区,梅陇镇,31.13275039,121.398146
康新公路,混合区,康桥镇,31.1326358,121.6131615
泗泾,居住区,泗泾镇,31.12041732,121.255952
外环路,居住区,莘庄镇,31.12281993,121.3883835
芦恒路,居住区,浦江镇,31.12118432,121.4937372
莘庄,居住区,莘庄镇,31.11311806,121.3809462
周浦东,居住区,周浦镇,31.11217444,121.6030424
佘山,居住区,佘山镇,31.10644833,121.2253203
朱家角,混合区,朱家角镇,31.10249276,121.0445231
东方绿舟,混合区,朱家角镇,31.10053742,121.0151844
春申路,混合区,莘庄镇,31.10021023,121.3810961
浦江镇,混合区,浦江镇,31.09865203,121.5019394
